Nr.,Block Height,Date
1,7962629,2019-06-15
2,8155117,2019-07-15
3,8354625,2019-08-15
4,8553607,2019-09-15
5,8745378,2019-10-15
6,8938208,2019-11-15
7,9110216,2019-12-15
8,9285458,2020-01-15
9,9487426,2020-02-15
10,9676110,2020-03-15
11,9877036,2020-04-15
12,10070789,2020-05-15
13,10270349,2020-06-15
14,10467362,2020-07-15
15,10664157,2020-08-15
16,10866666,2020-09-15
17,11060222,2020-10-15
18,11262275,2020-11-15
19,11457486,2020-12-15
20,11659570,2021-01-15
21,11861210,2021-02-15
22,12043054,2021-03-15
23,12244515,2021-04-15
24,12438842,2021-05-15
25,12638919,2021-06-15
26,12831436,2021-07-15
27,13029639,2021-08-15
28,13230157,2021-09-15
29,13422506,2021-10-15
30,13620205,2021-11-15
31,13809597,2021-12-15
32,14009885,2022-01-15
33,14210564,2022-02-15
34,14391029,2022-03-15
35,14589816,2022-04-15
36,14779829,2022-05-15
37,14967365,2022-06-15